prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
HAHO,Zone 1: Urbaine,agbaladomé,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,kpédomé,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,kpota,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,ekli,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,tegbé,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,adimè,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,tako,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
HAHO,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,paix,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,kpandio,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,meteo,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,watchalo,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,lawai,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,zongo,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,tchitchao,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,essowavana,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,sondè,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,wekada,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,nima,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 1: Urbaine,gnimda,2000000.0,600.0,3333.0,ValeursVenales
SOTOUBOUA,Zone 2: Périurbaine,zone périurbaine,1000000.0,600.0,1667.0,ValeursVenales
SOTOUBOUA,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,centre-ville,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,kpengalam,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,komah,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,akamadè,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,tchawanda,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,kagnidè,4000000.0,600.0,6667.0,ValeursVenales
TCHAOUDJO,Zone 1: Urbaine,barrière,4000000.0,600.0,6667.0,ValeursVenales
