source,id,nuo,titre,usage,offre,categorie,ville,quartier,piece,surface,garage,cout_mensuel,cout_vente,nuitee
ImmoAsk,1405,5346,"appartement meublé,louer,lome,adidogome",Sejour,louer,Appartement meublé,Lome,Adidogome,0,50.0,0,200000,0,0
ImmoAsk,1404,5345,"appartement meublé,louer,lome,kodjoviakope",Sejour,louer,Appartement meublé,Lome,Kodjoviakope,2,100.0,1,550000,0,0
ImmoAsk,1403,5344,"appartement meublé,louer,lome,hedzranawoe ",Sejour,louer,Appartement meublé,Lome,Hédzranawoe,1,70.0,1,350000,0,0
ImmoAsk,1402,5343,"appartement meublé,louer,lome,agoe nyive",Sejour,louer,Appartement meublé,Lome,Agoe,1,70.0,2,250000,0,0
ImmoAsk,1401,5342,"immeuble commercial,vendre,lome,legbassito",Acquisition,vendre,Appartement meublé,Lome,Agoe,0,600.0,0,0,85000000,0
ImmoAsk,1400,5341,"appartement meublé,louer,lome,avenou",Sejour,louer,Appartement meublé,Lome,Avenou,2,100.0,1,450000,0,0
ImmoAsk,1399,5340,"appartement meublé,louer,lome,agbalepedo",Sejour,louer,Appartement meublé,Lome,Agbalépédo,0,70.0,0,150000,0,0
ImmoAsk,1398,5339,"appartement meublé,louer,lome,agbalepedo",Sejour,louer,Appartement meublé,Lome,Agbalépédo,3,120.0,1,300000,0,0
ImmoAsk,1397,5338,"appartement meublé,louer,lome,segbe ",Sejour,louer,Appartement meublé,Lome,Segbe,2,70.0,2,330000,0,0
ImmoAsk,1396,5337,"appartement meublé,louer,lome,segbe",Sejour,louer,Appartement meublé,Lome,Segbe,2,70.0,2,330000,0,0
ImmoAsk,1395,5336,"appartement meublé,louer,lome,adidoadin",Sejour,louer,Appartement meublé,Lome,Adidoadin ,2,100.0,1,350000,0,0
ImmoAsk,1394,5335,"boutique,louer,lome,djidjole",Commercial,louer,2 chambres salon,Lome,Djidjolé,1,11.0,0,40000,0,0
ImmoAsk,1393,5334,"appartement meublé,louer,lome,avedji",Sejour,louer,Appartement meublé,Lome,Avedji,2,150.0,1,250000,0,0
ImmoAsk,1392,5333,"appartement meublé,louer,lome,avedji",Sejour,louer,Appartement meublé,Lome,Avedji,0,150.0,0,250000,0,0
ImmoAsk,1391,5332,"appartement meublé,louer,lome,avedji",Sejour,louer,Appartement meublé,Lome,Avedji,0,15.0,0,250000,0,0
ImmoAsk,1390,5331,"appartement meublé,louer,lome,avedji",Sejour,louer,Appartement meublé,Lome,Avedji,0,15.0,0,250000,0,0
ImmoAsk,1389,5330,"appartement meublé,louer,lome,sagbado",Sejour,louer,Appartement meublé,Lome,Sagbado,0,150.0,0,350000,0,0
ImmoAsk,1388,5329,"terrain,vendre,lome,davie",Acquisition,vendre,Terrain,Lome,Davie,0,150.0,0,0,1000000,0
ImmoAsk,1387,5328,"terrain,vendre,lome,davie",Acquisition,vendre,Terrain,Lome,Davie,0,600.0,0,0,6500000,0
ImmoAsk,1386,5327,"terrain,vendre,lome,kohe",Acquisition,vendre,Terrain,Lome,Adidogome,0,760.0,0,0,13500000,0
ImmoAsk,1385,5326,"villa,louer,lome,avepozo ",Logement,louer,Villa,Lome,Avepozo,3,300.0,1,250000,0,0
ImmoAsk,1384,5325,"appartement meublé,louer,lome,segbe ",Sejour,louer,Appartement meublé,Lome,Segbe,0,100.0,0,350000,0,0
ImmoAsk,1383,5324,"terrain,vendre,lome,adetikope ",Acquisition,vendre,Terrain,Lome,Adetikope,0,600.0,0,0,8000000,0
ImmoAsk,1382,5323,"terrain,vendre,lome,adetikope",Acquisition,vendre,Terrain,Lome,Adetikope,0,600.0,0,0,16000000,0
ImmoAsk,1381,5322,"terrain,vendre,lome,segbe",Acquisition,vendre,Terrain,Lome,Segbe,0,880.0,0,0,26000000,0
ImmoAsk,1380,5321,"terrain,vendre,lome,adeticope",Acquisition,vendre,Terrain,Lome,Adetikope,0,300.0,0,0,3500000,0
ImmoAsk,1379,5320,"terrain,vendre,lome,adeticope",Acquisition,vendre,Terrain,Lome,Adetikope,0,150.0,0,0,2000000,0
ImmoAsk,1378,5319,"maison,vendre,lome,vapkossito",Acquisition,vendre,Maison,Lome,Agoe,0,300.0,0,0,25000000,0
ImmoAsk,1377,5318,"villa meublée,louer,lome,adidoadin",Sejour,louer,Villa meublée,Lome,Adidoadin ,1,150.0,1,250000,0,0
ImmoAsk,1376,5317,"terrain,vendre,lome,adetikope",Acquisition,vendre,Terrain,Lome,Adetikope,0,300.0,0,0,3500000,0
ImmoAsk,1375,5316,"terrain,vendre,lome,adetikope",Acquisition,vendre,Terrain,Lome,Adetikope,0,150.0,0,0,2000000,0
ImmoAsk,1374,5315,"terrain,vendre,lome,djagble",Acquisition,vendre,Terrain,Lome,Djagble,0,300.0,0,0,3500000,0
