titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
"villa,vendre,lome,klikame",VENTE,Villa,klikamé,15000000,3.0,150.0,immoask
"chambre salon,louer,lome,attiegou",LOCATION,Chambre Salon,attiégou,45000,1.0,30.0,immoask
"villa,louer,lome,be",LOCATION,Villa,bè,400001,3.0,400.0,immoask
"terrain,vendre,lome,attiegou",VENTE,Terrain,attiégou,100000000,2.0,1800.0,immoask
"terrain,vendre,lome,hedzranawoe",VENTE,Terrain,hédzranawoe,200000000,2.0,1650.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,400000,2.0,65.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,800000,3.0,700.0,immoask
"appartement meublé,louer,lome,avenou",LOCATION,Appartement,avenou,500000,2.0,70.0,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,45000,1.0,30.0,immoask
"2 chambres salon,louer,lome,adidogome",LOCATION,Maison,adidogome,65000,2.0,50.0,immoask
"terrain,vendre,lome,agoe",VENTE,Terrain,agoe,15000000,2.0,600.0,immoask
"terrain,vendre,lome,zanguera",VENTE,Terrain,zanguera,27000000,2.0,1330.0,immoask
"terrain,vendre,lome,lankouvi",VENTE,Terrain,adidogome,11500000,2.0,300.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,400000,3.0,300.0,immoask
"villa,louer,lomé,kegue",LOCATION,Villa,kegue,500000,3.0,300.0,immoask
"villa,louer,lome,tokoin",LOCATION,Appartement,tokoin,450000,2.0,300.0,immoask
"chambre salon,louer,lome,attilamonou",LOCATION,Chambre Salon,adidogome,45000,1.0,40.0,immoask
"chambre salon,louer,lome,zanguera",LOCATION,Chambre Salon,zanguera,35000,1.0,35.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,300000,2.0,60.0,immoask
"villa,louer,lome,cite oua",LOCATION,Villa,cite oua,2500000,5.0,900.0,immoask
"chambre salon,louer,lome,zanguera",LOCATION,Chambre Salon,zanguera,50000,1.0,50.0,immoask
"appartement meublé,louer,lome,tokoin",LOCATION,Appartement,tokoin,500000,2.0,70.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,400000,2.0,80.0,immoask
"villa,louer,lome,kegue",LOCATION,Villa,kegue,500000,3.0,300.0,immoask
"appartement meublé,louer,lome,zanguera",LOCATION,Appartement,zanguera,300000,3.0,70.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,600000,2.0,600.0,immoask
"villa meublée,louer,lome,kpogan",LOCATION,Villa,kpogan,800000,4.0,600.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,350000,2.0,300.0,immoask
"appartement meublé,louer,lomé,nyekonakpoe",LOCATION,Appartement,nyékonakpoè,350000,2.0,300.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,600000,3.0,600.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,1000000,3.0,600.0,immoask
"appartement meublé,louer,lome,kodjoviakope",LOCATION,Appartement,kodjoviakope,600000,2.0,300.0,immoask
"appartement meublé,louer,lome,agbalepedo",LOCATION,Appartement,agbalépédo,300000,2.0,300.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,1200000,3.0,300.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,450000,3.0,80.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,400000,2.0,50.0,immoask
"appartement meublé,louer,lome,nyekonakpoe",LOCATION,Appartement,nyékonakpoè,350000,2.0,300.0,immoask
"appartement meublé,louer,lome,adidoadin",LOCATION,Appartement,adidoadin,250000,1.0,150.0,immoask
"villa meublée,louer,lome,adeticope",LOCATION,Villa,adetikope,350000,3.0,300.0,immoask
"appartement meublé,louer,lome,adidoadin",LOCATION,Appartement,adidoadin,200000,1.0,150.0,immoask
"appartement meublé,louer,lome,kpota non loin du lycee",LOCATION,Appartement,bè,450000,3.0,300.0,immoask
"appartement meublé,louer,lome,kegue",LOCATION,Appartement,kegue,150000,2.0,150.0,immoask
"appartement meublé,louer,1,kegue",LOCATION,Appartement,kegue,150000,2.0,150.0,immoask
"appartement meublé,louer,lome,attiegou",LOCATION,Appartement,attiégou,250000,2.0,150.0,immoask
"villa meublée,louer,lome,hedzanawoe - novissi",LOCATION,Villa,hédzranawoe,500000,3.0,300.0,immoask
"villa meublée,louer,lome,kpogan non loin du goudron",LOCATION,Villa,kpogan,800000,3.0,300.0,immoask
"appartement meublé,louer,lome,kegue tsinga",LOCATION,Appartement,kegue,200000,1.0,150.0,immoask
"villa meublée,louer,lome,hedzranawoe",LOCATION,Villa,hédzranawoe,400000,3.0,300.0,immoask
"appartement meublé,louer,lome,cito aeroport",LOCATION,Appartement,cito aeroport,300000,1.0,150.0,immoask
"chambre salon,louer,lome,cito aeroport",LOCATION,Chambre Salon,cito aeroport,300000,1.0,150.0,immoask
"villa,louer,lome,tokoin",LOCATION,Villa,tokoin,150000,2.0,150.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,350000,2.0,200.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,350000,2.0,120.0,immoask
"villa,vendre,lome,adidogome",VENTE,Villa,adidogome,50000000,3.0,300.0,immoask
"terrain,vendre,lome,agoe",VENTE,Terrain,agoe,150000000,2.0,1200.0,immoask
"chambre salon,louer,lome,agoe zossime",LOCATION,Chambre Salon,agoe,45000,1.0,45.0,immoask
"appartement,louer,lome,agoe zossime",LOCATION,Appartement,agoe,70000,2.0,50.0,immoask
"terrain,vendre,kpalime,yokele",VENTE,Terrain,yokele,20000000,2.0,2400.0,immoask
"chambre salon,louer,lome,be kpota",LOCATION,Chambre Salon,bè,45000,1.0,42.0,immoask
"chambre salon,louer,lome,cacaveli",LOCATION,Chambre Salon,agoe,55000,1.0,25.0,immoask
"terrain,vendre,kpalime,kpime",VENTE,Terrain,kpime,700000,2.0,600.0,immoask
"studio meublé,louer,lomé,avenou",LOCATION,Appartement,avenou,220000,2.0,24.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,500000,2.0,35.0,immoask
"villa,vendre,lome,be kpota",VENTE,Villa,bè,130000000,4.0,300.0,immoask
"appartement meublé,louer,lome,agoe",LOCATION,Appartement,agoe,170000,2.0,55.0,immoask
"terrain,vendre,lome,agoe",VENTE,Appartement,agoe,33000000,2.0,300.0,immoask
"villa meublée,louer,lome,adidogome la pampar",LOCATION,Villa,adidogome,600000,3.0,300.0,immoask
"appartement meublé,louer,lome,adidogome la pampar",LOCATION,Appartement,adidogome,700000,2.0,400.0,immoask
"villa,louer,lome,sagbado",LOCATION,Villa,sagbado,300000,3.0,300.0,immoask
"appartement meublé,louer,lome,tokoin",LOCATION,Appartement,tokoin,150000,1.0,80.0,immoask
"studio meublé,louer,lome,agbalepedo",LOCATION,Appartement,agbalépédo,210000,2.0,80.0,immoask
"studio meublé,louer,lome,agbalepeto",LOCATION,Studio,agbalepeto,210000,1.0,80.0,immoask
"terrain,vendre,lome,agoe sogbossito",VENTE,Terrain,agoe,6000000,2.0,300.0,immoask
"villa,louer,lome,kegue",LOCATION,Villa,kegue,300000,3.0,300.0,immoask
"villa meublée,louer,lome,avedji",LOCATION,Villa,avedji,300000,3.0,300.0,immoask
"villa,vendre,lome,djagble",VENTE,Villa,djagble,215000000,10.0,300.0,immoask
