Préfecture,Zone,Type d'offre,Type de bien,Quartier,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),source
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,AKPAME KONDZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,NUMETUKODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,NOGO,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,LOMNAVA,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,NOVISSI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,TSIVE,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,NYIVEME,5000000,600,8333,valeursvenales
KLOTO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,2000000,600,3333,valeursvenales
KLOTO,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,200000,10000,20,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,NOTSE,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,AVIZOUHA,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,ATITEROME,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,SABAKOME,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,ADJIGO,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,ZONGO,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,NAWOLO,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,AGBALADOME,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,KPEDOME,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,KPOTA,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,EKLI,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,TEGBE,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,ADIME,4000000,600,6667,valeursvenales
HAHO,ZONE 1: URBAINE,VENTE,TERRAIN,TAKO,4000000,600,6667,valeursvenales
HAHO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,2000000,600,3333,valeursvenales
HAHO,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,200000,10000,20,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,PAIX,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,KPANDIO,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,METEO,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,WATCHALO,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,LAWAI,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,ZONGO,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,TCHITCHAO,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,ESSOWAVANA,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,SONDE,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,WEKADA,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,NIMA,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,GNIMDA,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,1000000,600,1667,valeursvenales
SOTOUBOUA,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,200000,10000,20,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,CENTRE-VILLE,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,KPENGALAM,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,KOMAH,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,AKAMADE,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,TCHAWANDA,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,KAGNIDE,4000000,600,6667,valeursvenales
